MARBLE_ID	REASON
00502802700014	kethiv
00502802700016	kethiv
00502802700018	kethiv
00502803000012	kethiv
00502902200048	kethiv
00502902200050	kethiv
00503201300006	kethiv
00503300200046	kethiv
00503300200048	kethiv
00503300900034	kethiv
00600201300026	kethiv
00600300400010	kethiv
00600300400012	kethiv
00600301600030	kethiv
00600301600032	kethiv
00600401800006	kethiv
00600401800008	kethiv
00600500100074	kethiv
00600600500018	kethiv
00600600500020	kethiv
00600600700002	kethiv
00600600700004	kethiv
00600600900018	kethiv
00600601300068	kethiv
00600702100002	kethiv
00600702100004	kethiv
00600801100054	kethiv
00600801600014	kethiv
00600801600016	kethiv
00600801600018	kethiv
00600900700002	kethiv
00600900700004	kethiv
00600900700034	kethiv
00601500400016	kethiv
00601500400018	kethiv
00601504700030	kethiv
00601504700032	kethiv
00601505300002	kethiv
00601505300004	kethiv
00601506300016	kethiv
00601600300034	kethiv
00601801200054	kethiv
00601801200056	kethiv
00601801400038	kethiv
00601801400040	kethiv
00601801900018	kethiv
00601801900020	kethiv
00601801900026	kethiv
00601802400006	kethiv
00601802400008	kethiv
00601902200014	kethiv
00601902200016	kethiv
00601902900034	kethiv
00601902900036	kethiv
00602000800062	kethiv
00602102700038	kethiv
00602200700038	kethiv
00602200700040	kethiv
00602400300036	kethiv
00602400300038	kethiv
00602400800002	kethiv
00602400800004	kethiv
00602401500048	kethiv
00602401500050	kethiv
00700102700036	kethiv
00700401100036	kethiv
00700401100038	kethiv
00700600500016	kethiv
00700600500018	kethiv
00700701300036	kethiv
00700702100032	kethiv
00700702100034	kethiv
00700900800028	kethiv
00700901200020	kethiv
00701103700054	kethiv
00701103700056	kethiv
00701301700022	kethiv
00701601800048	kethiv
00701602100044	kethiv
00701602100046	kethiv
00701602500006	kethiv
00701602500008	kethiv
00701602500044	kethiv
00701602500046	kethiv
00701602600026	kethiv
00701602600028	kethiv
00701700200026	kethiv
00701700200028	kethiv
00701900300022	kethiv
00701900300024	kethiv
00701902100010	kethiv
00701902100012	kethiv
00701902500068	kethiv
00701902500070	kethiv
00702001300046	kethiv
00702001300050	kethiv
00702102000002	kethiv
00702102000004	kethiv
00702102200016	kethiv
00702102200018	kethiv
00800100800026	kethiv
00800200100008	kethiv
00800300300014	kethiv
00800300300020	kethiv
00800300300022	kethiv
00800300400036	kethiv
00800300400038	kethiv
00800300500014	kethiv
00800301200010	kethiv
00800301400006	kethiv
00800301400020	kethiv
00800301400022	kethiv
00800301700024	kethiv
00800400400050	kethiv
00800400400052	kethiv
00800400500042	kethiv
00800400600014	kethiv
00800400600016	kethiv
00900200300028	kethiv
00900200300030	kethiv
00900200900004	kethiv
00900201000006	kethiv
00900201000010	kethiv
00900201600044	kethiv
00900300200026	kethiv
00900300200028	kethiv
00900401300020	kethiv
00900500600026	kethiv
00900500600028	kethiv
00900500600030	kethiv
00900500900060	kethiv
00900501200016	kethiv
00900501200018	kethiv
00900501200020	kethiv
00900600400030	kethiv
00900600500008	kethiv
00900700900014	kethiv
00900700900016	kethiv
00900800300010	kethiv
00900800300012	kethiv
00900900100008	kethiv
00900900100010	kethiv
00900902600028	kethiv
00900902600030	kethiv
00901000700008	kethiv
00901002100012	kethiv
00901002100014	kethiv
00901100600014	kethiv
00901100600016	kethiv
00901100900036	kethiv
00901100900038	kethiv
00901201000010	kethiv
00901201000012	kethiv
00901300800002	kethiv
00901300800004	kethiv
